Time [mS], AccX [mg], AccY [mg], AccZ [mg], GyroX [mdps], GyroY [mdps], GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T ['C]
1774, 46, 54, 1041, -18830, -11007, 3325, -295, -93, -846, 964.86, 31.18
1775, 52, 39, 1005, -26932, -10937, 245, -300, -99, -841, 964.83, 31.18
1776, 24, 47, 1028, -26897, -16905, -210, -301, -100, -846, 964.83, 31.18
1777, 21, 42, 1042, -26512, -15050, -945, -298, -96, -846, 964.83, 31.18
1778, 39, 65, 1002, -29785, -10640, -2047, -295, -96, -835, 964.83, 31.18
1779, 65, 56, 964, -26530, 1452, -1400, -298, -100, -837, 964.83, 31.18
1780, 110, 37, 898, -10640, 26197, 4690, -304, -97, -837, 964.83, 31.18
1781, 89, 68, 1012, 472, 49542, 14280, -300, -93, -828, 964.83, 31.18
1782, 0, 101, 1005, -1120, 48597, 15872, -295, -100, -831, 964.83, 31.18
1783, -26, 269, 382, 18357, -3237, -5722, -292, -99, -835, 964.83, 31.18
1784, 209, 81, 686, 53235, -73815, -12652, -295, -97, -832, 964.83, 31.18
1785, 135, 68, 961, 57750, -51012, -5530, -300, -96, -829, 964.83, 31.18
1786, 52, 93, 1023, 63700, -33740, 2817, -304, -91, -831, 964.83, 31.18
1787, -5, 79, 1097, 62825, -36155, 1750, -307, -90, -826, 964.85, 31.18
1788, -14, 75, 1219, 54862, -36785, -6772, -310, -91, -826, 964.85, 31.18
1789, 1, 45, 1280, 39935, -25987, -11147, -310, -90, -828, 964.85, 31.18
1790, -19, 26, 1250, 22207, -10395, -8715, -310, -85, -826, 964.85, 31.18
1791, 37, 58, 1079, 210, 27597, -9362, -310, -85, -828, 964.85, 31.18
1792, 25, 78, 965, -2240, 30047, -8925, -310, -90, -829, 964.85, 31.18
1793, 7, 85, 899, 490, 17920, -9992, -310, -96, -826, 964.85, 31.18
1794, 12, 68, 896, 5705, 1837, -12512, -309, -93, -826, 964.85, 31.18
1795, 37, 65, 918, 9345, -9870, -12372, -316, -87, -826, 964.84, 31.18
1796, 6, 55, 957, 13755, -8610, -3710, -319, -90, -831, 964.84, 31.18
1797, 34, 73, 946, 7525, 2905, 2695, -312, -87, -832, 964.84, 31.18
1798, 31, 144, 1258, -2660, 16117, 4567, -307, -85, -831, 964.84, 31.18
1799, -36, 42, 1054, -29032, 22365, 0, -310, -87, -831, 964.87, 31.18
1800, 11, 88, 1011, -24552, 16607, -3412, -309, -87, -835, 964.87, 31.18
1801, 36, 86, 1017, -14472, 21595, 5670, -304, -91, -835, 964.87, 31.18
1802, 14, 76, 1010, -3097, 17587, 11095, -303, -94, -828, 964.87, 31.18
1803, -25, 76, 1017, -2677, 6422, 11287, -303, -91, -831, 964.85, 31.18
1804, -4, 45, 1006, -507, 3307, 16695, -303, -93, -837, 964.85, 31.18
1805, -21, 78, 1005, 175, 12232, 19162, -300, -94, -835, 964.85, 31.18
1806, 59, 111, 988, -5687, 13930, 17500, -298, -94, -835, 964.85, 31.18
1807, 67, 107, 985, -10762, -4025, 21647, -298, -93, -840, 964.83, 31.18
1808, 53, 78, 998, -8697, 6230, 25655, -297, -90, -838, 964.83, 31.18
1809, 19, 96, 1001, -12652, 4847, 21910, -292, -97, -835, 964.83, 31.18
1810, 45, 114, 994, -13562, 805, 17132, -294, -99, -834, 964.83, 31.18
1811, 77, 66, 1014, -11060, 6020, 24832, -295, -99, -834, 964.81, 31.18
1812, 31, 33, 1010, -9135, 8365, 30887, -294, -100, -837, 964.81, 31.18
1813, 10, 26, 1001, -7770, 7000, 33057, -288, -94, -835, 964.81, 31.18
1814, 155, -206, 1005, -7262, -35, 44467, -289, -96, -832, 964.81, 31.18
1815, 214, -188, 1019, -17885, -9940, 75355, -289, -100, -835, 964.86, 31.18
1816, 86, 105, 1011, -21612, -13527, 96687, -285, -99, -837, 964.86, 31.18
1817, -94, 162, 992, -21192, -8767, 93537, -283, -103, -840, 964.86, 31.18
1818, -177, 118, 1007, -19075, -4742, 76247, -280, -109, -840, 964.86, 31.18
1819, -159, 110, 998, -16800, -3605, 58467, -274, -111, -835, 964.84, 31.18
1820, -12, 126, 979, -24097, 37835, 47477, -273, -112, -834, 964.84, 31.18
1821, -43, 173, 1002, -45080, 40705, 45342, -271, -112, -835, 964.84, 31.18
1822, 30, 107, 974, -67392, 17745, 36557, -270, -120, -834, 964.84, 31.18
1823, 6, 61, 939, -87045, 6877, 32147, -265, -127, -828, 964.83, 31.18
1824, -44, 43, 1053, -129920, 5320, 26407, -265, -133, -829, 964.83, 31.18
1825, -18, -32, 1079, -9660, -13615, 24150, -265, -133, -835, 964.83, 31.18
1826, 13, 3, 1014, -245, -35, -350, -265, -130, -834, 964.83, 31.18
1827, 12, -1, 1007, -542, -87, -332, -268, -130, -834, 964.81, 31.18
1828, -40, 57, 1004, 157, 17, -4270, -268, -126, -832, 964.81, 31.18
1829, -23, 49, 1006, 280, -35, -17727, -262, -126, -832, 964.81, 31.18
1830, 30, -18, 1007, 105, 87, -20020, -262, -136, -835, 964.81, 31.18
1831, 31, -27, 1005, -35, 35, -11060, -265, -138, -835, 964.81, 31.18
1832, 32, -19, 1005, -157, -52, -6545, -265, -130, -834, 964.80, 31.18
1833, 20, -10, 1007, -157, -157, -3482, -265, -129, -832, 964.80, 31.18
1834, 15, -4, 1006, -122, -87, -2765, -267, -130, -835, 964.80, 31.18
1835, 16, -4, 1007, -35, 17, -2537, -262, -129, -838, 964.80, 31.18
1836, 19, -7, 1006, -52, 87, -1697, -265, -126, -838, 964.83, 31.18
1837, -2, 24, 1005, -52, 87, -1907, -265, -124, -838, 964.83, 31.18
1838, -19, 58, 1005, 35, 122, -9887, -261, -126, -838, 964.83, 31.18
