Time [10ms], UTC, Lat, Lon, Alt [m], Speed [km/h], Course [deg], Fix, NumSat, HDOP
60, 065454.30, 37.3830608, 23.2480863, 15.60, 0.39, 231.98, 1, 7, 1.32
60, 065454.30, 37.3830608, 23.2480863, 15.60, 0.39, 231.98, 1, 7, 1.32
70, 065454.40, 37.3830650, 23.2480847, 15.10, 0.34, 0.00, 1, 7, 1.32
70, 065454.40, 37.3830650, 23.2480847, 15.10, 0.34, 0.00, 1, 7, 1.32
80, 065454.50, 37.3830685, 23.2480832, 14.60, 0.05, 0.00, 1, 7, 1.32
90, 065454.60, 37.3830713, 23.2480820, 14.20, 0.05, 0.00, 1, 7, 1.32
100, 065454.70, 37.3830740, 23.2480808, 13.80, 0.16, 0.00, 1, 7, 1.32
110, 065454.80, 37.3830773, 23.2480803, 13.30, 0.30, 0.00, 1, 7, 1.32
120, 065454.90, 37.3830798, 23.2480798, 12.90, 0.45, 292.30, 1, 7, 1.32
130, 065455.00, 37.3830865, 23.2480797, 12.00, 0.44, 0.00, 1, 7, 1.32
140, 065455.10, 37.3830920, 23.2480795, 11.20, 0.49, 297.09, 1, 7, 1.32
150, 065455.20, 37.3830970, 23.2480798, 10.50, 0.59, 24.78, 1, 7, 1.32
160, 065455.30, 37.3831020, 23.2480797, 9.90, 0.40, 359.06, 1, 7, 1.32
170, 065455.40, 37.3831062, 23.2480798, 9.40, 0.34, 0.00, 1, 7, 1.32
180, 065455.50, 37.3831098, 23.2480797, 8.90, 0.37, 342.59, 1, 7, 1.32
190, 065455.60, 37.3831132, 23.2480797, 8.50, 0.13, 0.00, 1, 7, 1.32
200, 065455.70, 37.3831157, 23.2480795, 8.20, 0.04, 0.00, 1, 7, 1.32
210, 065455.80, 37.3831182, 23.2480795, 7.80, 0.35, 0.00, 1, 7, 1.32
220, 065455.90, 37.3831198, 23.2480793, 7.60, 0.16, 0.00, 1, 7, 1.32
230, 065456.00, 37.3831197, 23.2480803, 7.40, 0.31, 0.00, 1, 7, 1.32
240, 065456.10, 37.3831202, 23.2480812, 7.20, 0.04, 0.00, 1, 7, 1.32
250, 065456.20, 37.3831203, 23.2480820, 7.00, 0.36, 0.00, 1, 7, 1.32
260, 065456.30, 37.3831207, 23.2480830, 6.80, 0.13, 0.00, 1, 7, 1.32
270, 065456.40, 37.3831213, 23.2480838, 6.70, 0.15, 0.00, 1, 7, 1.32
280, 065456.50, 37.3831218, 23.2480848, 6.50, 0.11, 0.00, 1, 7, 1.32
290, 065456.60, 37.3831227, 23.2480857, 6.30, 0.22, 0.00, 1, 7, 1.32
300, 065456.70, 37.3831235, 23.2480865, 6.10, 0.13, 0.00, 1, 7, 1.32
310, 065456.80, 37.3831240, 23.2480872, 5.90, 0.33, 0.00, 1, 7, 1.32
320, 065456.90, 37.3831238, 23.2480880, 5.90, 0.25, 0.00, 1, 7, 1.32
330, 065457.00, 37.3831240, 23.2480893, 5.90, 0.23, 0.00, 1, 7, 1.32
340, 065457.10, 37.3831243, 23.2480907, 5.80, 0.08, 0.00, 1, 7, 1.32
350, 065457.20, 37.3831247, 23.2480918, 5.70, 0.24, 0.00, 1, 7, 1.32
360, 065457.30, 37.3831250, 23.2480930, 5.70, 0.20, 0.00, 1, 7, 1.32
370, 065457.40, 37.3831257, 23.2480942, 5.60, 0.17, 0.00, 1, 7, 1.32
380, 065457.50, 37.3831267, 23.2480953, 5.50, 0.31, 0.00, 1, 7, 1.32
390, 065457.60, 37.3831272, 23.2480963, 5.40, 0.21, 0.00, 1, 7, 1.32
400, 065457.70, 37.3831278, 23.2480973, 5.40, 0.24, 0.00, 1, 7, 1.32
410, 065457.80, 37.3831282, 23.2480983, 5.30, 0.45, 9.20, 1, 7, 1.32
420, 065457.90, 37.3831283, 23.2480993, 5.30, 0.10, 0.00, 1, 7, 1.32
430, 065458.00, 37.3831277, 23.2480992, 5.20, 0.30, 0.00, 1, 7, 1.32
440, 065458.10, 37.3831272, 23.2480990, 5.00, 0.07, 0.00, 1, 7, 1.32
450, 065458.20, 37.3831268, 23.2480990, 4.90, 0.21, 0.00, 1, 7, 1.32
460, 065458.30, 37.3831267, 23.2480990, 4.70, 0.21, 0.00, 1, 7, 1.32
470, 065458.40, 37.3831263, 23.2480988, 4.60, 0.13, 0.00, 1, 7, 1.32
480, 065458.50, 37.3831258, 23.2480988, 4.50, 0.14, 0.00, 1, 7, 1.32
490, 065458.60, 37.3831253, 23.2480988, 4.40, 0.14, 0.00, 1, 7, 1.32
500, 065458.70, 37.3831248, 23.2480988, 4.30, 0.24, 0.00, 1, 7, 1.32
510, 065458.80, 37.3831245, 23.2480987, 4.20, 0.14, 0.00, 1, 7, 1.32
520, 065458.90, 37.3831240, 23.2480985, 4.10, 0.12, 0.00, 1, 7, 1.32
540, 065459.10, 37.3831220, 23.2480987, 4.10, 0.05, 0.00, 1, 7, 1.32
550, 065459.20, 37.3831208, 23.2480988, 4.10, 0.22, 0.00, 1, 7, 1.32
560, 065459.30, 37.3831198, 23.2480990, 4.20, 0.10, 0.00, 1, 7, 1.32
570, 065459.40, 37.3831187, 23.2480992, 4.20, 0.42, 118.89, 1, 7, 1.32
580, 065459.50, 37.3831178, 23.2480992, 4.20, 0.08, 0.00, 1, 7, 1.32
590, 065459.60, 37.3831170, 23.2480993, 4.20, 0.22, 0.00, 1, 7, 1.32
600, 065459.70, 37.3831163, 23.2480993, 4.20, 0.20, 0.00, 1, 7, 1.32
610, 065459.80, 37.3831153, 23.2480995, 4.30, 0.25, 0.00, 1, 7, 1.32
620, 065459.90, 37.3831147, 23.2480995, 4.30, 0.14, 0.00, 1, 7, 1.32
640, 065500.10, 37.3831132, 23.2480997, 4.30, 0.15, 0.00, 1, 7, 1.32
650, 065500.20, 37.3831125, 23.2480997, 4.30, 0.10, 0.00, 1, 7, 1.32
660, 065500.30, 37.3831117, 23.2480997, 4.30, 0.15, 0.00, 1, 7, 1.32
670, 065500.40, 37.3831108, 23.2480997, 4.30, 0.02, 0.00, 1, 7, 1.32
680, 065500.50, 37.3831102, 23.2480998, 4.30, 0.11, 0.00, 1, 7, 1.32
690, 065500.60, 37.3831093, 23.2480998, 4.40, 0.09, 0.00, 1, 7, 1.32
700, 065500.70, 37.3831088, 23.2480998, 4.40, 0.07, 0.00, 1, 7, 1.32
710, 065500.80, 37.3831082, 23.2480998, 4.40, 0.19, 0.00, 1, 7, 1.32
720, 065500.90, 37.3831075, 23.2480998, 4.40, 0.19, 0.00, 1, 7, 1.32
740, 065501.10, 37.3831060, 23.2480998, 4.40, 0.22, 0.00, 1, 7, 1.32
750, 065501.20, 37.3831052, 23.2480998, 4.50, 0.18, 0.00, 1, 7, 1.32
760, 065501.30, 37.3831043, 23.2480998, 4.50, 0.47, 154.68, 1, 7, 1.32
770, 065501.40, 37.3831037, 23.2480998, 4.50, 0.17, 0.00, 1, 7, 1.32
780, 065501.50, 37.3831030, 23.2480998, 4.50, 0.20, 0.00, 1, 7, 1.32
790, 065501.60, 37.3831023, 23.2480997, 4.50, 0.24, 0.00, 1, 7, 1.32
800, 065501.70, 37.3831015, 23.2480997, 4.50, 0.12, 0.00, 1, 7, 1.32
810, 065501.80, 37.3831008, 23.2480998, 4.60, 0.24, 0.00, 1, 7, 1.32
820, 065501.90, 37.3831002, 23.2480997, 4.60, 0.14, 0.00, 1, 7, 1.32
830, 065501.90, 37.3831002, 23.2480997, 4.60, 0.14, 0.00, 1, 7, 1.32
840, 065502.10, 37.3830987, 23.2480997, 4.70, 0.11, 0.00, 1, 7, 1.32
850, 065502.20, 37.3830980, 23.2480997, 4.70, 0.11, 0.00, 1, 7, 1.32
860, 065502.30, 37.3830972, 23.2480995, 4.70, 0.27, 0.00, 1, 7, 1.32
870, 065502.40, 37.3830965, 23.2480995, 4.80, 0.14, 0.00, 1, 7, 1.32
880, 065502.50, 37.3830957, 23.2480995, 4.80, 0.11, 0.00, 1, 7, 1.32
890, 065502.60, 37.3830948, 23.2480995, 4.80, 0.46, 157.86, 1, 7, 1.32
900, 065502.70, 37.3830943, 23.2480993, 4.90, 0.31, 0.00, 1, 7, 1.32
910, 065502.80, 37.3830938, 23.2480993, 4.90, 0.27, 0.00, 1, 7, 1.32
920, 065502.90, 37.3830932, 23.2480993, 4.90, 0.22, 0.00, 1, 7, 1.32
930, 065502.90, 37.3830932, 23.2480993, 4.90, 0.22, 0.00, 1, 7, 1.32
940, 065503.10, 37.3830923, 23.2480992, 4.90, 0.28, 0.00, 1, 7, 1.32
950, 065503.10, 37.3830923, 23.2480992, 4.90, 0.28, 0.00, 1, 7, 1.32
960, 065503.30, 37.3830915, 23.2480992, 4.90, 0.30, 0.00, 1, 7, 1.32
