Time [10ms], Voltage [mV], SOC [0.1%], Current [100uA]
110, 4145, 100, 0
210, 4145, 100, 0
310, 4145, 100, 0
410, 4145, 100, -73
510, 4145, 100, -73
610, 4147, 100, -73
710, 4147, 100, -72
810, 4147, 100, -72
910, 4147, 100, -72
1010, 4145, 100, -72
1110, 4145, 100, -73
1210, 4145, 100, -73
1310, 4145, 100, -73
1410, 4145, 100, -73
1510, 4145, 100, -74
1610, 4145, 100, -74
1710, 4145, 100, -74
1810, 4145, 100, -74
1910, 4145, 100, -73
2010, 4145, 100, -73
2110, 4145, 100, -73
2210, 4145, 100, -73
2310, 4145, 100, -73
2410, 4145, 100, -73
2510, 4145, 100, -73
2610, 4145, 100, -73
2710, 4145, 100, -72
2810, 4145, 100, -72
2910, 4145, 100, -72
3010, 4145, 100, -72
3110, 4145, 100, -73
3210, 4145, 100, -73
3310, 4145, 100, -73
3410, 4143, 100, -73
3510, 4143, 100, -73
3610, 4143, 100, -73
3710, 4143, 100, -73
3810, 4143, 100, -73
3910, 4143, 100, -72
4010, 4143, 100, -72
4110, 4143, 100, -72
4210, 4143, 100, -72
4310, 4143, 100, -72
4410, 4143, 100, -72
4510, 4143, 100, -72
4610, 4143, 100, -72
4710, 4143, 100, -72
4810, 4143, 100, -72
4910, 4143, 100, -72
5010, 4140, 100, -72
5110, 4140, 100, -73
5210, 4140, 100, -73
5310, 4140, 100, -73
5410, 4143, 100, -73
5510, 4143, 100, -76
5610, 4143, 100, -76
5710, 4143, 100, -76
5810, 4140, 99, -76
5910, 4140, 99, -72
6010, 4140, 99, -72
6110, 4140, 99, -72
6210, 4140, 99, -72
6310, 4140, 99, -72
6410, 4140, 99, -72
6510, 4140, 99, -72
6610, 4140, 99, -72
6710, 4140, 99, -72
6810, 4140, 99, -72
6910, 4140, 99, -72
7010, 4140, 99, -72
7110, 4140, 99, -72
7210, 4140, 99, -72
7310, 4140, 99, -72
7410, 4140, 99, -72
7510, 4140, 99, -73
7610, 4140, 99, -73
7710, 4140, 99, -73
7810, 4140, 99, -73
7910, 4140, 99, -74
8010, 4140, 99, -74
8110, 4140, 99, -74
8210, 4140, 99, -74
8310, 4140, 99, -73
8410, 4140, 99, -73
8510, 4140, 99, -73
8610, 4138, 99, -73
8710, 4138, 99, -73
8810, 4138, 99, -73
8910, 4138, 99, -73
9010, 4140, 99, -73
9110, 4140, 99, -71
9210, 4140, 99, -71
9310, 4140, 99, -71
9410, 4138, 99, -71
9510, 4138, 99, -73
9610, 4138, 99, -73
9710, 4138, 99, -73
9810, 4138, 99, -73
9910, 4138, 99, -72
10010, 4138, 99, -72
10110, 4138, 99, -72
10210, 4138, 99, -72
10310, 4138, 99, -72
10410, 4138, 99, -72
10510, 4138, 99, -72
10610, 4138, 99, -72
10710, 4138, 99, -73
10810, 4138, 99, -73
10910, 4138, 99, -73
11010, 4138, 99, -73
11110, 4138, 99, -75
11210, 4138, 99, -75
11310, 4138, 99, -75
11410, 4138, 99, -75
11510, 4138, 99, -73
11610, 4138, 99, -73
11710, 4138, 99, -73
11810, 4138, 99, -73
11910, 4138, 99, -72
12010, 4138, 99, -72
12110, 4138, 99, -72
12210, 4138, 99, -72
12310, 4138, 99, -72
12410, 4138, 99, -72
12510, 4138, 99, -72
12610, 4138, 99, -72
12710, 4138, 99, -72
12810, 4138, 99, -72
12910, 4138, 99, -72
13010, 4138, 99, -72
13110, 4138, 99, -73
13210, 4138, 99, -73
13310, 4138, 99, -73
13410, 4138, 99, -73
13510, 4138, 99, -71
13610, 4138, 99, -71
13710, 4138, 99, -71
13810, 4136, 99, -71
13910, 4136, 99, -72
14010, 4136, 99, -72
14110, 4136, 99, -72
14210, 4136, 99, -72
14310, 4136, 99, -71
14410, 4136, 99, -71
14510, 4136, 99, -71
14610, 4136, 99, -71
14710, 4136, 99, -73
14810, 4136, 99, -73
14910, 4136, 99, -73
15010, 4136, 99, -73
15110, 4136, 99, -72
15210, 4136, 99, -72
15310, 4136, 99, -72
15410, 4136, 99, -72
15510, 4136, 99, -72
15610, 4136, 99, -72
15710, 4136, 99, -72
15810, 4136, 99, -72
15910, 4136, 99, -70
16010, 4136, 99, -70
16110, 4136, 99, -70
16210, 4136, 99, -70
16310, 4136, 99, -71
16410, 4136, 99, -71
16510, 4136, 99, -71
16610, 4136, 99, -71
16710, 4136, 99, -71
16810, 4136, 99, -71
16910, 4136, 99, -71
17010, 4136, 99, -71
17110, 4136, 99, -70
17210, 4136, 99, -70
17310, 4136, 99, -70
17410, 4136, 99, -70
17510, 4136, 99, -70
17610, 4136, 99, -70
17710, 4136, 99, -70
17810, 4136, 99, -70
17910, 4134, 99, -70
18010, 4134, 99, -70
18110, 4134, 99, -70
18210, 4134, 99, -70
18310, 4134, 99, -70
18410, 4134, 99, -70
18510, 4134, 99, -70
18610, 4134, 99, -70
18710, 4134, 99, -71
18810, 4134, 99, -71
18910, 4134, 99, -71
19010, 4134, 99, -71
19110, 4134, 99, -70
19210, 4134, 99, -70
19310, 4134, 99, -70
19410, 4134, 99, -70
19510, 4134, 99, -69
19610, 4134, 99, -69
19710, 4134, 99, -69
19810, 4134, 99, -69
19910, 4134, 99, -71
20010, 4134, 99, -71
20110, 4134, 99, -71
20210, 4134, 99, -71
20310, 4134, 99, -70
20410, 4134, 99, -70
20510, 4134, 99, -70
20610, 4134, 99, -70
20710, 4134, 99, -70
20810, 4134, 99, -70
20910, 4134, 99, -70
21010, 4134, 99, -70
21110, 4134, 99, -70
21210, 4134, 99, -70
21310, 4134, 99, -70
21410, 4134, 99, -70
21510, 4132, 99, -69
21610, 4132, 99, -69
21710, 4132, 99, -69
21810, 4132, 99, -69
21910, 4132, 99, -69
22010, 4132, 99, -69
22110, 4132, 99, -69
22210, 4132, 99, -69
22310, 4129, 99, -70
22410, 4129, 99, -70
22510, 4129, 99, -70
22610, 4129, 99, -70
22710, 4132, 99, -69
22810, 4132, 99, -69
22910, 4132, 99, -69
23010, 4132, 99, -69
23110, 4134, 99, -69
23210, 4134, 99, -69
23310, 4134, 99, -69
23410, 4134, 99, -69
23510, 4132, 99, -71
23610, 4132, 99, -71
23710, 4132, 99, -71
23810, 4132, 99, -71
23910, 4132, 99, -68
24010, 4132, 99, -68
24110, 4132, 99, -68
24210, 4132, 99, -68
24310, 4132, 99, -70
24410, 4132, 99, -70
24510, 4132, 99, -70
24610, 4132, 99, -70
24710, 4132, 99, -69
24810, 4132, 99, -69
24910, 4132, 99, -69
25010, 4132, 99, -69
25110, 4132, 99, -70
25210, 4132, 99, -70
25310, 4132, 99, -70
25410, 4132, 99, -70
25510, 4132, 99, -69
25610, 4132, 99, -69
25710, 4132, 99, -69
25810, 4132, 99, -69
25910, 4132, 99, -69
26010, 4132, 99, -69
26110, 4132, 99, -69
26210, 4132, 99, -69
26310, 4132, 99, -70
26410, 4132, 99, -70
26510, 4132, 99, -70
26610, 4132, 99, -70
26710, 4129, 99, -70
26810, 4129, 99, -70
26910, 4129, 99, -70
27010, 4129, 99, -70
27110, 4132, 99, -69
27210, 4132, 99, -69
27310, 4132, 99, -69
27410, 4132, 99, -69
27510, 4132, 99, -70
27610, 4132, 99, -70
27710, 4132, 99, -70
27810, 4132, 99, -70
27910, 4129, 99, -69
28010, 4129, 99, -69
28110, 4129, 99, -69
28210, 4129, 99, -69
28310, 4129, 99, -70
28410, 4129, 99, -70
28510, 4129, 99, -70
28610, 4129, 99, -70
28710, 4129, 99, -70
28810, 4129, 99, -70
28910, 4129, 99, -70
29010, 4129, 99, -70
29110, 4129, 99, -70
29210, 4129, 99, -70
29310, 4129, 99, -70
29410, 4129, 99, -70
29510, 4129, 99, -72
29610, 4129, 99, -72
29710, 4129, 98, -72
29810, 4129, 98, -72
29910, 4127, 98, -69
30010, 4127, 98, -69
30110, 4127, 98, -69
30210, 4127, 98, -69
30310, 4129, 98, -69
30410, 4129, 98, -69
30510, 4129, 98, -69
30610, 4129, 98, -69
30710, 4129, 98, -69
30810, 4129, 98, -69
