Time [10ms], UTC, Lat, Lon, Alt [m], Speed [km/h], Course [deg], Fix, NumSat, HDOP
101, 125053.90, 37.3829493, 23.2481843, -0.30, 0.29, 0.00, 1, 12, 0.60
201, 125054.90, 37.3829477, 23.2481825, -0.10, 0.04, 0.00, 1, 12, 0.60
301, 125055.90, 37.3829483, 23.2481822, -0.20, 0.03, 0.00, 1, 12, 0.62
401, 125056.90, 37.3829483, 23.2481833, -0.40, 0.01, 0.00, 1, 12, 0.62
501, 125057.90, 37.3829472, 23.2481832, -0.60, 0.15, 0.00, 1, 12, 0.62
601, 125058.90, 37.3829447, 23.2481832, -0.60, 0.30, 0.00, 1, 12, 0.62
701, 125059.80, 37.3829427, 23.2481823, -0.70, 0.07, 0.00, 1, 12, 0.60
801, 125100.80, 37.3829435, 23.2481815, -0.70, 0.11, 0.00, 1, 12, 0.60
901, 125101.80, 37.3829445, 23.2481818, -0.80, 0.20, 0.00, 1, 12, 0.60
1001, 125102.80, 37.3829455, 23.2481813, -0.90, 0.57, 0.00, 1, 12, 0.60
1101, 125103.80, 37.3829455, 23.2481810, -0.90, 0.03, 0.00, 1, 12, 0.60
1201, 125104.80, 37.3829460, 23.2481810, -0.90, 0.28, 0.00, 1, 12, 0.60
1301, 125105.80, 37.3829465, 23.2481810, -1.00, 0.17, 0.00, 1, 12, 0.60
1401, 125106.80, 37.3829478, 23.2481818, -1.10, 0.13, 0.00, 1, 12, 0.60
1501, 125107.80, 37.3829485, 23.2481822, -1.00, 0.17, 0.00, 1, 12, 0.60
1601, 125108.80, 37.3829488, 23.2481825, -0.90, 0.27, 0.00, 1, 12, 0.60
1701, 125109.80, 37.3829495, 23.2481827, -0.80, 0.29, 0.00, 1, 12, 0.60
1801, 125110.80, 37.3829497, 23.2481833, -0.70, 0.29, 0.00, 1, 12, 0.62
1901, 125111.80, 37.3829502, 23.2481840, -0.70, 0.45, 0.00, 1, 12, 0.62
2001, 125112.80, 37.3829507, 23.2481843, -0.70, 0.56, 0.00, 1, 12, 0.63
2101, 125113.70, 37.3829513, 23.2481850, -0.60, 0.65, 111.92, 1, 12, 0.61
2201, 125114.70, 37.3829517, 23.2481858, -0.90, 0.21, 0.00, 1, 12, 0.60
