Qi,Qj,Qk,Qs,,,,,,,,,
-0.003866,0.003122,0.777923,0.628340,,,,,,,,,
-0.003863,0.003135,0.777889,0.628382,,,,,,,,,
-0.003861,0.003138,0.777847,0.628434,,,,,,,,,
-0.003663,0.003168,0.777749,0.628557,,,,,,,,,
-0.003613,0.003099,0.777721,0.628592,,,,,,,,,
-0.003594,0.003201,0.777655,0.628673,,,,,,,,,
-0.003640,0.003199,0.777628,0.628706,,,,,,,,,
-0.003688,0.003197,0.777597,0.628744,,,,,,,,,
-0.003725,0.003196,0.777563,0.628786,,,,,,,,,
-0.003672,0.003142,0.777531,0.628826,,,,,,,,,
-0.003711,0.003153,0.777485,0.628882,,,,,,,,,
-0.003720,0.003159,0.777490,0.628876,,,,,,,,,
-0.003658,0.003173,0.777487,0.628880,,,,,,,,,
-0.003611,0.003176,0.777492,0.628875,,,,,,,,,
-0.003634,0.003173,0.777496,0.628869,,,,,,,,,
-0.003613,0.003240,0.777497,0.628868,,,,,,,,,
-0.003658,0.003220,0.777494,0.628872,,,,,,,,,
-0.003625,0.003147,0.777494,0.628872,,,,,,,,,
-0.003534,0.003165,0.777500,0.628865,,,,,,,,,
-0.003523,0.003100,0.777507,0.628857,,,,,,,,,
-0.003456,0.003120,0.777512,0.628850,,,,,,,,,
-0.003533,0.003122,0.777515,0.628847,,,,,,,,,
-0.003456,0.003132,0.777520,0.628841,,,,,,,,,
-0.003461,0.003073,0.777525,0.628835,,,,,,,,,
-0.003537,0.003084,0.777521,0.628840,,,,,,,,,
-0.003600,0.003093,0.777524,0.628835,,,,,,,,,
-0.003644,0.003107,0.777518,0.628843,,,,,,,,,
-0.003549,0.003130,0.777516,0.628846,,,,,,,,,
-0.003605,0.003133,0.777519,0.628841,,,,,,,,,
-0.003599,0.003201,0.777523,0.628837,,,,,,,,,
-0.003579,0.003124,0.777519,0.628842,,,,,,,,,
-0.003570,0.003201,0.777522,0.628837,,,,,,,,,
-0.003548,0.003131,0.777519,0.628842,,,,,,,,,
-0.003546,0.003207,0.777522,0.628838,,,,,,,,,
-0.003551,0.003260,0.777525,0.628833,,,,,,,,,
-0.003548,0.003312,0.777520,0.628839,,,,,,,,,
-0.003527,0.003229,0.777526,0.628833,,,,,,,,,
-0.003530,0.003285,0.777528,0.628830,,,,,,,,,
-0.003591,0.003257,0.777530,0.628827,,,,,,,,,
-0.003596,0.003306,0.777533,0.628823,,,,,,,,,
-0.003637,0.003268,0.777536,0.628820,,,,,,,,,
-0.003605,0.003183,0.777532,0.628825,,,,,,,,,
-0.003571,0.003109,0.777536,0.628820,,,,,,,,,
-0.003552,0.003055,0.777540,0.628816,,,,,,,,,
-0.003624,0.003069,0.777542,0.628813,,,,,,,,,
-0.003528,0.003090,0.777544,0.628811,,,,,,,,,
-0.003537,0.003165,0.777547,0.628808,,,,,,,,,
-0.003598,0.003160,0.777549,0.628805,,,,,,,,,
-0.003648,0.003157,0.777543,0.628812,,,,,,,,,
-0.003615,0.003094,0.777546,0.628808,,,,,,,,,
-0.003668,0.003095,0.777548,0.628805,,,,,,,,,
-0.003622,0.003038,0.777551,0.628803,,,,,,,,,
-0.003526,0.003065,0.777552,0.628802,,,,,,,,,
-0.003522,0.003012,0.777554,0.628799,,,,,,,,,
-0.003512,0.002976,0.777556,0.628796,,,,,,,,,
-0.003520,0.003095,0.777557,0.628795,,,,,,,,,
-0.003577,0.003097,0.777558,0.628793,,,,,,,,,
-0.003565,0.003173,0.777558,0.628793,,,,,,,,,
-0.003568,0.003232,0.777559,0.628791,,,,,,,,,
-0.003565,0.003289,0.777560,0.628789,,,,,,,,,
-0.003628,0.003253,0.777555,0.628797,,,,,,,,,
-0.003613,0.003305,0.777556,0.628794,,,,,,,,,
-0.003586,0.003214,0.777559,0.628792,,,,,,,,,
-0.003631,0.003194,0.777560,0.628790,,,,,,,,,
-0.003621,0.003249,0.777562,0.628788,,,,,,,,,
-0.003666,0.003228,0.777556,0.628795,,,,,,,,,
-0.003628,0.003138,0.777550,0.628803,,,,,,,,,
-0.003599,0.003079,0.777552,0.628801,,,,,,,,,
-0.003589,0.003164,0.777553,0.628799,,,,,,,,,
-0.003560,0.003094,0.777556,0.628796,,,,,,,,,
-0.003536,0.003037,0.777551,0.628802,,,,,,,,,
-0.003539,0.003131,0.777552,0.628802,,,,,,,,,
-0.003550,0.003213,0.777553,0.628799,,,,,,,,,
-0.003475,0.003199,0.777555,0.628798,,,,,,,,,
-0.003474,0.003128,0.777557,0.628795,,,,,,,,,
-0.003495,0.003196,0.777559,0.628792,,,,,,,,,
-0.003491,0.003126,0.777560,0.628791,,,,,,,,,
-0.003562,0.003129,0.777562,0.628789,,,,,,,,,
-0.003626,0.003137,0.777562,0.628788,,,,,,,,,
-0.003598,0.003079,0.777564,0.628786,,,,,,,,,
-0.003582,0.003024,0.777558,0.628794,,,,,,,,,
-0.003554,0.002981,0.777552,0.628802,,,,,,,,,
-0.003554,0.002951,0.777553,0.628800,,,,,,,,,
-0.003539,0.002928,0.777555,0.628798,,,,,,,,,
-0.003601,0.002968,0.777556,0.628796,,,,,,,,,
-0.003649,0.003000,0.777557,0.628795,,,,,,,,,
-0.003630,0.003100,0.777559,0.628791,,,,,,,,,
-0.003679,0.003099,0.777561,0.628789,,,,,,,,,
-0.003714,0.003107,0.777562,0.628787,,,,,,,,,
-0.003742,0.003113,0.777564,0.628786,,,,,,,,,
-0.003763,0.003118,0.777565,0.628784,,,,,,,,,
-0.003715,0.003055,0.777566,0.628783,,,,,,,,,
-0.003669,0.003146,0.777567,0.628782,,,,,,,,,
-0.003579,0.003151,0.777569,0.628780,,,,,,,,,
-0.003632,0.003149,0.777570,0.628778,,,,,,,,,
-0.003616,0.003220,0.777571,0.628776,,,,,,,,,
-0.003603,0.003278,0.777573,0.628774,,,,,,,,,
-0.003585,0.003184,0.777574,0.628773,,,,,,,,,
-0.003556,0.003110,0.777568,0.628781,,,,,,,,,
-0.003607,0.003110,0.777570,0.628779,,,,,,,,,
-0.003602,0.003181,0.777571,0.628777,,,,,,,,,
-0.003578,0.003114,0.777573,0.628775,,,,,,,,,
-0.003571,0.003178,0.777566,0.628783,,,,,,,,,
-0.003487,0.003193,0.777567,0.628782,,,,,,,,,
